"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C2,C3,C4";"CP_Elec_6.3x7.7";4;"22μF";;;
2;"C1";"C_0805";1;"100nF";;;
3;"C6,C7,C8,C9";"C_0805";4;"0.1uF";;;
4;"D3";"LED_0805";1;"LED";;;
5;"Biruta";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Biruta";;;
6;"Power";"TerminalBlock_Phoenix_PT-3.5mm_2pol";1;"Power";;;
7;"J3";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"DataLogger";;;
8;"J4";"TerminalBlock_Phoenix_MPT-2.54mm_6pol";1;"BME280";;;
9;"Pluviometro";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Pluviometro";;;
10;"Anemometro";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";1;"Anemometro";;;
11;"J7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"FTDI";;;
12;"J8,J9,J10,J11,J12,J13,J14,J15";"TerminalBlock_Phoenix_MPT-2.54mm_2pol";8;"Conn_01x02";;;
13;"R1,R2,R3,R4,R5,R6,R7,R8,R14,R15,R16";"R_0805";11;"10K";;;
14;"R11";"R_0805";1;"330";;;
15;"SW1";"SW_Micro_SPST";1;"SW_Push_SPDT";;;
16;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
17;"SW3";"SW_Micro_SPST";1;"SW_SPDT";;;
18;"U1,U3";"SOT-223";2;"AP1117-33";;;
19;"U2";"ESP32-WROOM";1;"ESP-32S";;;
20;"U4,U5,U6,U7";"MSOP-10_3x3mm_Pitch0.5mm";4;"ADS1115";;;
21;"R9,R10";"R_0805";2;"10k";;;
